Sl.No,District,GP Grants Allocation,TP Grants Allocation,ZP Grants Allocation,Total
1,BAGALKOTE,687872999,80926235,40463118,809262352
2,BALLARI,923533172,109494887,54747444,1087775503
3,BELAGAVI,1768035200,210513111,105256555,2083804866
4,BENGALURU,445914187,54513286,27256643,527684116
5,BENGALURU RURAL,374267034,44219588,22109794,440596417
6,BIDAR,664913761,79194523,39597261,783705546
7,CHAMARAJANAGARA,472897115,54528727,27264364,554690206
8,CHIKKABALLAPURA,539821515,61927706,30963853,632713074
9,CHIKKAMAGALURU,512404990,60454006,30227003,603085999
10,CHITRADURGA,728576169,86570174,43285087,858431430
11,DAKSHINA KANNADA,680032520,81258311,40629155,801919986
12,DAVANAGERE,583361607,65106816,32553408,681021831
13,DHARWAR,424022537,50398203,25199101,499619841
14,GADAG,387802545,44477686,22238843,454519074
15,HASSAN,808422478,91681503,45840751,945944732
16,HAVERI,647928033,76660195,38330097,762918325
17,KALABURAGI,981089829,113164260,56582130,1150836220
18,KODAGU,278796817,32799625,16399813,327996255
19,KOLAR,576755693,66787299,33393649,676936641
20,KOPPAL,574019297,67987858,33993929,676001084
21,MANDYA,780601348,92177585,46088792,918867725
22,MYSURU,958363630,113204839,56602419,1128170888
23,RAICHUR,745817238,88655557,44327778,878800574
24,RAMANAGARA,424602701,50010281,25005141,499618123
25,SHIVAMOGGA,636503370,74882749,37441375,748827494
26,TUMAKURU,1129250198,132668441,66334221,1328252860
27,UDUPI,501088603,59134071,29567035,589789709
28,UTTARA KANNADA,617321320,72905446,36452723,726679489
29,VIJAYAPURA,862663455,101546840,50773420,1014983716
30,YADGIR,487820638,59150192,29575096,576545926
Grand Total,,20204500000,2377000000,1188500000,23770000000
